Child: 0, type: 3, width: 488, height: 305
Child: 1, type: 5, width: 485, height: 300
Child: 2, type: 5, width: 32, height: 241
Child: 3, type: 5, width: 32, height: 32
Child: 4, type: 5, width: 32, height: 243
Child: 5, type: 5, width: 424, height: 34
Child: 6, type: 5, width: 423, height: 32
Child: 7, type: 5, width: 32, height: 32
Child: 8, type: 5, width: 32, height: 32
Child: 9, type: 5, width: 32, height: 32
Child: 10, type: 5, width: 465, height: 32
Child: 11, type: 5, width: 32, height: 32
Child: 12, type: 5, width: 32, height: 32
Child: 13, message: Last fifty duels on this world:
Child: 14, message: Duel Scoreboard
Child: 15, type: 0, width: 437, height: 229
Child: 16, message: Crunchy (126) beat Crunchy2 (126)
Child: 17, message: Crunchy (126) beat Crunchy2 (126)
Child: 18, message: Crunchy (126) beat Crunchy2 (126)
Child: 19, message: Crunchy (126) beat Crunchy2 (126)
Child: 20, message: Crunchy (126) beat Crunchy2 (126)
Child: 21, message: Crunchy (126) beat Crunchy2 (126)
Child: 22, message: Crunchy (126) beat Crunchy2 (126)
Child: 23, message: Crunchy (126) beat Crunchy2 (126)
Child: 24, message: Crunchy (126) beat Crunchy2 (126)
Child: 25, message: Crunchy (126) beat Crunchy2 (126)
Child: 26, message: Crunchy (126) beat Crunchy2 (126)
Child: 27, message: Crunchy (126) beat Crunchy2 (126)
Child: 28, message: Crunchy (126) beat Crunchy2 (126)
Child: 29, message: Crunchy (126) beat Crunchy2 (126)
Child: 30, message: Crunchy (126) beat Crunchy2 (126)
Child: 31, message: Crunchy (126) beat Crunchy2 (126)
Child: 32, message: Crunchy (126) beat Crunchy2 (126)
Child: 33, message: Crunchy (126) beat Crunchy2 (126)
Child: 34, message: Crunchy (126) beat Crunchy2 (126)
Child: 35, message: Crunchy (126) beat Crunchy2 (126)
Child: 36, message: Crunchy (126) beat Crunchy2 (126)
Child: 37, message: Crunchy (126) beat Crunchy2 (126)
Child: 38, message: Crunchy (126) beat Crunchy2 (126)
Child: 39, message: Crunchy (126) beat Crunchy2 (126)
Child: 40, message: Crunchy (126) beat Crunchy2 (126)
Child: 41, message: Crunchy (126) beat Crunchy2 (126)
Child: 42, message: Crunchy (126) beat Crunchy2 (126)
Child: 43, message: Crunchy (126) beat Crunchy2 (126)
Child: 44, message: Crunchy (126) beat Crunchy2 (126)
Child: 45, message: Crunchy (126) beat Crunchy2 (126)
Child: 46, message: Crunchy (126) beat Crunchy2 (126)
Child: 47, message: Crunchy (126) beat Crunchy2 (126)
Child: 48, message: Crunchy (126) beat Crunchy2 (126)
Child: 49, message: Crunchy (126) beat Crunchy2 (126)
Child: 50, message: Crunchy (126) beat Crunchy2 (126)
Child: 51, message: Crunchy (126) beat Crunchy2 (126)
Child: 52, message: Crunchy (126) beat Crunchy2 (126)
Child: 53, message: Crunchy (126) beat Crunchy2 (126)
Child: 54, message: Crunchy (126) beat Crunchy2 (126)
Child: 55, message: Crunchy (126) beat Crunchy2 (126)
Child: 56, message: Crunchy (126) beat Crunchy2 (126)
Child: 57, message: Crunchy (126) beat Crunchy2 (126)
Child: 58, message: Crunchy (126) beat Crunchy2 (126)
Child: 59, message: Crunchy (126) beat Crunchy2 (126)
Child: 60, message: Crunchy (126) beat Crunchy2 (126)
Child: 61, message: Crunchy (126) beat Crunchy2 (126)
Child: 62, message: Crunchy (126) beat Crunchy2 (126)
Child: 63, message: Crunchy (126) beat Crunchy2 (126)
Child: 64, message: Crunchy (126) beat Crunchy2 (126)
Child: 65, message: Crunchy (126) beat Crunchy2 (126)
Child: 66, type: 0, width: 16, height: 230
Child: 67, type: 5, width: 16, height: 16
