Child: 0, message: %1
Child: 1, type: 5, width: 72, height: 36
Child: 2, type: 5, width: 72, height: 36
Child: 3, type: 5, width: 72, height: 36
Child: 4, type: 5, width: 70, height: 46
Child: 5, type: 5, width: 70, height: 46
Child: 6, type: 5, width: 34, height: 24
Child: 7, type: 5, width: 34, height: 24
Child: 8, type: 5, width: 34, height: 24
Child: 9, type: 5, width: 150, height: 46
Child: 10, message: Auto Retaliate <br>(Off)
Child: 11, message: Spell
Child: 12, type: 0, width: 183, height: 162
Child: 13, type: 0, width: 93, height: 114
Child: 14, type: 5, width: 20, height: 20
Child: 15, type: 0, width: 93, height: 114
Child: 16, type: 5, width: 20, height: 20
Child: 17, type: 0, width: 93, height: 114
Child: 18, type: 5, width: 20, height: 20
Child: 19, type: 0, width: 93, height: 114
Child: 20, type: 5, width: 20, height: 20
Child: 21, type: 0, width: 93, height: 114
Child: 22, type: 5, width: 20, height: 20
Child: 23, type: 0, width: 93, height: 114
Child: 24, type: 5, width: 20, height: 20
Child: 25, type: 0, width: 93, height: 114
Child: 26, type: 5, width: 20, height: 20
Child: 27, type: 0, width: 93, height: 114
Child: 28, type: 5, width: 20, height: 20
Child: 29, type: 0, width: 93, height: 114
Child: 30, type: 5, width: 20, height: 20
Child: 31, type: 0, width: 93, height: 114
Child: 32, type: 5, width: 20, height: 20
Child: 33, type: 0, width: 93, height: 114
Child: 34, type: 5, width: 20, height: 20
Child: 35, type: 0, width: 93, height: 114
Child: 36, type: 5, width: 20, height: 20
Child: 37, type: 0, width: 93, height: 114
Child: 38, type: 5, width: 20, height: 20
Child: 39, type: 0, width: 93, height: 114
Child: 40, type: 5, width: 20, height: 20
Child: 41, type: 0, width: 93, height: 114
Child: 42, type: 5, width: 20, height: 20
Child: 43, type: 0, width: 93, height: 114
Child: 44, type: 5, width: 20, height: 20
Child: 45, type: 0, width: 93, height: 114
Child: 46, type: 5, width: 20, height: 20
Child: 47, type: 0, width: 93, height: 114
Child: 48, type: 5, width: 20, height: 20
Child: 49, type: 0, width: 93, height: 114
Child: 50, type: 5, width: 20, height: 20
Child: 51, type: 0, width: 93, height: 114
Child: 52, type: 5, width: 20, height: 20
Child: 53, type: 0, width: 93, height: 114
Child: 54, type: 5, width: 20, height: 20
Child: 55, type: 0, width: 93, height: 114
Child: 56, type: 5, width: 20, height: 20
Child: 57, type: 0, width: 93, height: 114
Child: 58, type: 5, width: 20, height: 20
Child: 59, type: 0, width: 93, height: 114
Child: 60, type: 5, width: 20, height: 20
Child: 61, type: 0, width: 93, height: 114
Child: 62, type: 5, width: 20, height: 20
Child: 63, type: 0, width: 93, height: 114
Child: 64, type: 5, width: 20, height: 20
Child: 65, type: 0, width: 93, height: 114
Child: 66, type: 5, width: 20, height: 20
Child: 67, type: 0, width: 93, height: 114
Child: 68, type: 5, width: 20, height: 20
Child: 69, type: 0, width: 93, height: 114
Child: 70, type: 5, width: 20, height: 20
Child: 71, type: 0, width: 93, height: 114
Child: 72, type: 5, width: 20, height: 20
Child: 73, type: 0, width: 93, height: 114
Child: 74, type: 5, width: 20, height: 20
Child: 75, type: 0, width: 93, height: 114
Child: 76, type: 5, width: 20, height: 20
Child: 77, type: 0, width: 93, height: 114
Child: 78, type: 5, width: 20, height: 20
Child: 79, type: 0, width: 93, height: 114
Child: 80, type: 5, width: 20, height: 20
Child: 81, type: 0, width: 93, height: 114
Child: 82, type: 5, width: 20, height: 20
Child: 83, type: 0, width: 93, height: 114
Child: 84, type: 5, width: 32, height: 36
Child: 85, type: 3, width: 155, height: 22
Child: 86, type: 5, width: 150, height: 26
Child: 87, type: 0, width: 158, height: 64
Child: 88, type: 6, width: 146, height: 9
Child: 89, type: 6, width: 146, height: 9
Child: 90, type: 6, width: 146, height: 9
Child: 91, type: 6, width: 146, height: 9
Child: 92, type: 6, width: 146, height: 9
Child: 93, type: 6, width: 146, height: 9
Child: 94, type: 6, width: 146, height: 9
Child: 95, type: 6, width: 146, height: 9
Child: 96, type: 6, width: 146, height: 9
Child: 97, type: 6, width: 146, height: 9
Child: 98, type: 6, width: 146, height: 9
Child: 99, message: S P E C I A L  A T T A C K
Child: 100, message: Combat Lvl: %1
Child: 101, message: Bash
Child: 102, message: Pound
Child: 103, message: Focus
Child: 104, type: 5, width: 36, height: 36
Child: 105, type: 8, width: 70, height: 34
Child: 106, type: 8, width: 70, height: 34
Child: 107, type: 8, width: 70, height: 31
Child: 108, type: 8, width: 70, height: 47
Child: 109, type: 8, width: 71, height: 47
Child: 110, type: 8, width: 159, height: 19
Child: 111, type: 8, width: 150, height: 46
Child: 112, message: Spell
Child: 113, type: 0, width: 100, height: 100
Child: 114, type: 5, width: 20, height: 20
Child: 115, type: 0, width: 100, height: 100
Child: 116, type: 5, width: 20, height: 20
Child: 117, type: 0, width: 100, height: 100
Child: 118, type: 5, width: 20, height: 20
Child: 119, type: 0, width: 100, height: 100
Child: 120, type: 5, width: 20, height: 20
Child: 121, type: 0, width: 100, height: 100
Child: 122, type: 5, width: 20, height: 20
Child: 123, type: 0, width: 100, height: 100
Child: 124, type: 5, width: 20, height: 20
Child: 125, type: 0, width: 100, height: 100
Child: 126, type: 5, width: 20, height: 20
Child: 127, type: 0, width: 100, height: 100
Child: 128, type: 5, width: 20, height: 20
Child: 129, type: 0, width: 100, height: 100
Child: 130, type: 5, width: 20, height: 20
Child: 131, type: 0, width: 100, height: 100
Child: 132, type: 5, width: 20, height: 20
Child: 133, type: 0, width: 100, height: 100
Child: 134, type: 5, width: 20, height: 20
Child: 135, type: 0, width: 100, height: 100
Child: 136, type: 5, width: 20, height: 20
Child: 137, type: 0, width: 100, height: 100
Child: 138, type: 5, width: 20, height: 20
Child: 139, type: 0, width: 100, height: 100
Child: 140, type: 5, width: 20, height: 20
Child: 141, type: 0, width: 100, height: 100
Child: 142, type: 5, width: 20, height: 20
Child: 143, type: 0, width: 100, height: 100
Child: 144, type: 5, width: 20, height: 20
Child: 145, type: 0, width: 100, height: 100
Child: 146, type: 5, width: 20, height: 20
Child: 147, type: 0, width: 100, height: 100
Child: 148, type: 5, width: 20, height: 20
Child: 149, type: 0, width: 100, height: 100
Child: 150, type: 5, width: 20, height: 20
Child: 151, type: 0, width: 100, height: 100
Child: 152, type: 5, width: 20, height: 20
