('0', 'null'),
('1', 'Crate'),
('2', 'Cave Entrance'),
('3', 'Door'),
('4', 'Door'),
('5', 'Broken multicannon'),
('6', 'Dwarf multicannon'),
('7', 'Cannon base'),
('8', 'Cannon stand'),
('9', 'Cannon barrels'),
('10', 'Ladder'),
('11', 'Ladder'),
('12', 'Rock pile'),
('13', 'Mud pile'),
('14', 'Railing'),
('15', 'Railing'),
('16', 'Railing'),
('17', 'Railing'),
('18', 'Railing'),
('19', 'Railing'),
('20', 'Railing'),
('21', 'Mysterious statue'),
('22', 'Door'),
('23', 'Sacks'),
('24', 'Door'),
('25', 'Clock spindle'),
('26', 'Clock spindle'),
('27', 'Clock spindle'),
('28', 'Clock spindle'),
('29', 'Clock spindle'),
('30', 'Clock spindle'),
('31', 'Clock spindle'),
('32', 'Clock spindle'),
('33', 'Lever'),
('34', 'Lever'),
('35', 'Lever'),
('36', 'Lever'),
('37', 'Gate'),
('38', 'Gate'),
('39', 'Gate'),
('40', 'Food trough'),
('41', 'Wall Pipe'),
('42', 'null'),
('43', 'Water'),
('44', 'null'),
('45', 'Staircase'),
('46', 'Staircase'),
('47', 'Gate'),
('48', 'Gate'),
('49', 'Gate'),
('50', 'Gate'),
('51', 'Loose Railing'),
('52', 'Gate'),
('53', 'Gate'),
('54', 'Stairs'),
('55', 'Stairs'),
('56', 'Stairs'),
('57', 'Stairs'),
('58', 'Vine'),
('59', 'Door'),
('60', 'Ladder'),
('61', 'Chaos altar'),
('62', 'Giant crystal'),
('63', 'Crate'),
('64', 'Crate'),
('65', 'Crate wall'),
('66', 'Crate wall'),
('67', 'Crate'),
('68', 'Beehive'),
('69', 'Gangplank'),
('70', 'Gangplank'),
('71', 'Large door'),
('72', 'Large door'),
('73', 'Large door'),
('74', 'Large door'),
('75', 'Chest'),
('76', 'Chest'),
('77', 'Door'),
('78', 'Door'),
('79', 'Prison Door'),
('80', 'Prison Door'),
('81', 'Door'),
('82', 'Door'),
('83', 'null'),
('84', 'null'),
('85', 'null'),
('86', 'Lever bracket'),
('87', 'Lever'),
('88', 'null'),
('89', 'Gate'),
('90', 'Gate'),
('91', 'Lever'),
('92', 'Door'),
('93', 'Door'),
('94', 'Gate'),
('95', 'Gate'),
('96', 'Stairs'),
('97', 'null'),
('98', 'Stairs'),
('99', 'Door'),
('100', 'Trapdoor'),
('101', 'Ladder'),
('102', 'Door'),
('103', 'Closed chest'),
('104', 'Open chest'),
('105', 'Trapdoor'),
('106', 'Trapdoor'),
('107', 'null'),
('108', 'null'),
('109', 'null'),
('110', 'null'),
('111', 'null'),
('112', 'null'),
('113', 'null'),
('114', 'Cooking range'),
('115', 'Party Balloon'),
('116', 'Party Balloon'),
('117', 'Party Balloon'),
('118', 'Party Balloon'),
('119', 'Party Balloon'),
('120', 'Party Balloon'),
('121', 'Party Balloon'),
('122', 'Party Balloon'),
('123', 'Party Balloon'),
('124', 'Party Balloon'),
('125', 'Party Balloon'),
('126', 'Party Balloon'),
('127', 'Party Balloon'),
('128', 'Party Balloon'),
('129', 'Party Balloon'),
('130', 'Party Balloon'),
('131', 'Door'),
('132', 'Ladder'),
('133', 'Ladder'),
('134', 'Large door'),
('135', 'Large door'),
('136', 'Door'),
('137', 'null'),
('138', 'null'),
('139', 'null'),
('140', 'null'),
('141', 'null'),
('142', 'null'),
('143', 'null'),
('144', 'null'),
('145', 'null'),
('146', 'null'),
('147', 'null'),
('148', 'null'),
('149', 'null'),
('150', 'null'),
('151', 'null'),
('152', 'Compost heap'),
('153', 'Fountain'),
('154', 'Obstacle pipe'),
('155', 'Bookcase'),
('156', 'Bookcase'),
('157', 'Bookcase'),
('158', 'Wall'),
('159', 'Wall'),
('160', 'Lever'),
('161', 'null'),
('162', 'Strange machine'),
('163', 'Strange machine'),
('164', 'Strange machine'),
('165', 'Incinerator'),
('166', 'Gate'),
('167', 'Gate'),
('168', 'null'),
('169', 'null'),
('170', 'Closed chest'),
('171', 'Open chest'),
('172', 'Closed chest'),
('173', 'Open chest'),
('174', 'null'),
('175', 'null'),
('176', 'null'),
('177', 'null'),
('178', 'null'),
('179', 'null'),
('180', 'null'),
('181', 'null'),
('182', 'null'),
('183', 'null'),
('184', 'null'),
('185', 'null'),
('186', 'null'),
('187', 'Gnome glider'),
('188', 'Crashed glider'),
('189', 'Blurberry bar'),
('190', 'Gate'),
('191', 'null'),
('192', 'null'),
('193', 'null'),
('194', 'Hollowed rock'),
('195', 'Ladder'),
('196', 'null'),
('197', 'null'),
('198', 'null'),
('199', 'null'),
('200', 'Lamp'),
('201', 'Lamp'),
('202', 'Candles'),
('203', 'Candles'),
('204', 'Candles'),
('205', 'null'),
('206', 'null'),
('207', 'null'),
('208', 'Candles'),
('209', 'Chandelier'),
('210', 'Ice Light'),
('211', 'Candles'),
('212', 'Sail'),
('213', 'null'),
('214', 'null'),
('215', 'null'),
('216', 'null'),
('217', 'null'),
('218', 'Sail'),
('219', 'null'),
('220', 'null'),
('221', 'Figurehead'),
('222', 'Figurehead'),
('223', 'null'),
('224', 'null'),
('225', 'Sail'),
('226', 'Sail'),
('227', 'Pile of rope'),
('228', 'null'),
('229', 'null'),
('230', 'null'),
('231', 'null'),
('232', 'null'),
('233', 'null'),
('234', 'null'),
('235', 'null'),
('236', 'null'),
('237', 'null'),
('238', 'null'),
('239', 'null'),
('240', 'null'),
('241', 'null'),
('242', 'null'),
('243', 'null'),
('244', 'null'),
('245', 'Ship's ladder'),
('246', 'Ship's ladder'),
('247', 'null'),
('248', 'null'),
('249', 'null'),
('250', 'null'),
('251', 'null'),
('252', 'Ship's wheel'),
('253', 'null'),
('254', 'Figurehead'),
('255', 'Winch'),
('256', 'null'),
('257', 'null'),
('258', 'null'),
('259', 'null'),
('260', 'Figurehead'),
('261', 'null'),
('262', 'null'),
('263', 'null'),
('264', 'null'),
('265', 'Sail'),
('266', 'Sail'),
('267', 'Sail'),
('268', 'Sail'),
('269', 'null'),
('270', 'null'),
('271', 'Anchor'),
('272', 'Ship's ladder'),
('273', 'Ship's ladder'),
('274', 'Hoisted sail'),
('275', 'Hoisted sail'),
('276', 'Hoisted sail'),
('277', 'Hoisted sail'),
('278', 'Hoisted sail'),
('279', 'Hoisted sail'),
('280', 'null'),
('281', 'null'),
('282', 'null'),
('283', 'null'),
('284', 'null'),
('285', 'null'),
('286', 'null'),
('287', 'Ladder'),
('288', 'null'),
('289', 'null'),
('290', 'null'),
('291', 'null'),
('292', 'null'),
('293', 'null'),
('294', 'null'),
('295', 'null'),
('296', 'Plough'),
('297', 'Scarecrow'),
('298', 'Hay bales'),
('299', 'Hay bales'),
('300', 'Haystack'),
('301', 'Food trough'),
('302', 'Eggs'),
('303', 'Compost'),
('304', 'Hay bale'),
('305', 'Beehive'),
('306', 'Broken cart'),
('307', 'Cart'),
('308', 'Cart'),
('309', 'Log pile'),
('310', 'Mud patch'),
('311', 'Mudpile'),
('312', 'Potato'),
('313', 'Wheat'),
('314', 'null'),
('315', 'null'),
('316', 'null'),
('317', 'null'),
('318', 'null'),
('319', 'null'),
('320', 'null'),
('321', 'null'),
('322', 'null'),
('323', 'null'),
('324', 'null'),
('325', 'null'),
('326', 'null'),
('327', 'Broken cart wheel'),
('328', 'null'),
('329', 'null'),
('330', 'null'),
('331', 'null'),
('332', 'null'),
('333', 'null'),
('334', 'null'),
('335', 'null'),
('336', 'null'),
('337', 'null'),
('338', 'null'),
('339', 'null'),
('340', 'null'),
('341', 'null'),
('342', 'null'),
('343', 'null'),
('344', 'null'),
('345', 'null'),
('346', 'Cabinet'),
('347', 'Cabinet'),
('348', 'Drawers'),
('349', 'Drawers'),
('350', 'Drawers'),
('351', 'Drawers'),
('352', 'Drawers'),
('353', 'Drawers'),
('354', 'Crate'),
('355', 'Crate'),
('356', 'Crate'),
('357', 'Crate'),
('358', 'Crate'),
('359', 'Boxes'),
('360', 'Boxes'),
('361', 'Boxes'),
('362', 'Barrel'),
('363', 'Barrel'),
('364', 'Barrel'),
('365', 'Sacks'),
('366', 'Crate'),
('367', 'Cupboard'),
('368', 'Cupboard'),
('369', 'Large cupboard'),
('370', 'Open Cupboard'),
('371', 'Cupboard'),
('372', 'Large open cupboard'),
('373', 'Dresser'),
('374', 'Hat stand'),
('375', 'Closed chest'),
('376', 'Closed chest'),
('377', 'Closed chest'),
('378', 'Open chest'),
('379', 'Open chest'),
('380', 'Bookcase'),
('381', 'Bookcase'),
('382', 'Basket'),
('383', 'Basket'),
('384', 'Basket'),
('385', 'Basket'),
('386', 'Large urn'),
('387', 'Bookshelves'),
('388', 'Wardrobe'),
('389', 'Wardrobe'),
('390', 'Wardrobe'),
('391', 'null'),
('392', 'Full fishing net'),
('393', 'Bookcase'),
('394', 'Bookcase'),
('395', 'Pot'),
('396', 'Pots'),
('397', 'Cabinet'),
('398', 'Coffin'),
('399', 'Coffin'),
('400', 'Small gravestone'),
('401', 'Grave marker'),
('402', 'Tombstone'),
('403', 'Large grave stone'),
('404', 'Gravestone'),
('405', 'Gravestone'),
('406', 'Large grave'),
('407', 'Henge'),
('408', 'Henge'),
('409', 'Altar'),
('410', 'Altar of Guthix'),
('411', 'Chaos altar'),
('412', 'Chaos altar'),
('413', 'Dolmen'),
('414', 'Coffin'),
('415', 'Coffin'),
('416', 'Church organ'),
('417', 'Bed'),
('418', 'Bed'),
('419', 'Bed'),
('420', 'Bed'),
('421', 'Bed'),
('422', 'Bed'),
('423', 'Bed'),
('424', 'Bed'),
('425', 'Bed'),
('426', 'Bed'),
('427', 'Bed'),
('428', 'Bed'),
('429', 'Bed'),
('430', 'Hammock'),
('431', 'Chaise lounge'),
('432', 'Bed'),
('433', 'Bed'),
('434', 'Bed'),
('435', 'Bed'),
('436', 'Rock'),
('437', 'Rock'),
('438', 'Rock'),
('439', 'Rock'),
('440', 'Rock'),
('441', 'Rock'),
('442', 'Rock'),
('443', 'null'),
('444', 'Boulder'),
('445', 'Boulder'),
('446', 'Stones'),
('447', 'Stones'),
('448', 'null'),
('449', 'Overhanging rock'),
('450', 'Rocks'),
('451', 'Rocks'),
('452', 'Rocks'),
('453', 'Rocks'),
('454', 'Cave rocks'),
('455', 'Cave rocks'),
('456', 'null'),
('457', 'null'),
('458', 'null'),
('459', 'null'),
('460', 'null'),
('461', 'null'),
('462', 'Mossy rock'),
('463', 'Mossy rock'),
('464', 'Column'),
('465', 'Column'),
('466', 'Column'),
('467', 'Stalactite'),
('468', 'Stalagmites'),
('469', 'Stalactite'),
('470', 'null'),
('471', 'Rockslide'),
('472', 'Rockslide'),
('473', 'Rockslide'),
('474', 'Rockslide'),
('475', 'null'),
('476', 'null'),
('477', 'Mossy rock'),
('478', 'Mossy rock'),
('479', 'Rockslide'),
('480', 'Rockslide'),
('481', 'Rockslide'),
('482', 'Rockslide'),
('483', 'Rockslide'),
('484', 'Rockslide'),
('485', 'Rockslide'),
('486', 'Rockslide'),
('487', 'null'),
('488', 'null'),
('489', 'null'),
('490', 'null'),
('491', 'null'),
('492', 'Rocks'),
('493', 'null'),
('494', 'null'),
('495', 'null'),
('496', 'null'),
('497', 'null'),
('498', 'null'),
('499', 'null'),
('500', 'null'),
('501', 'null'),
('502', 'null'),
('503', 'null'),
('504', 'null'),
('505', 'null'),
('506', 'null'),
('507', 'Rockslide'),
('508', 'Rockslide'),
('509', 'Rockslide'),
('510', 'Rockslide'),
('511', 'Rocks'),
('512', 'null'),
('513', 'null'),
('514', 'null'),
('515', 'null'),
('516', 'Ice Column'),
('517', 'Rockslide'),
('518', 'Rockslide'),
('519', 'Rockslide'),
('520', 'Rockslide'),
('521', 'null'),
('522', 'null'),
('523', 'Column'),
('524', 'Column'),
('525', 'Column'),
('526', 'Column'),
('527', 'Column'),
('528', 'Column'),
('529', 'Stalactite'),
('530', 'Stalagmites'),
('531', 'Stalactite'),
('532', 'Stalagmites'),
('533', 'Stalactite'),
('534', 'Stalagmite'),
('535', 'null'),
('536', 'null'),
('537', 'null'),
('538', 'null'),
('539', 'Stalactite'),
('540', 'null'),
('541', 'Stalagmite'),
('542', 'Stalagmite'),
('543', 'Stalactite'),
('544', 'Stalagmite'),
('545', 'Boulder'),
('546', 'Eerie statue'),
('547', 'null'),
('548', 'Rockslide'),
('549', 'Rockslide'),
('550', 'Rockslide'),
('551', 'Rockslide'),
('552', 'null'),
('553', 'null'),
('554', 'Icicle'),
('555', 'Icicle'),
('556', 'Icicle'),
('557', 'Icicle'),
('558', 'Cave entrance'),
('559', 'null'),
('560', 'null'),
('561', 'null'),
('562', 'Statue of a warrior'),
('563', 'Statue of a king'),
('564', 'Statue of a queen'),
('565', 'Statue of a king'),
('566', 'Statue of a warrior'),
('567', 'Tribal statue'),
('568', 'Dwarf statue'),
('569', 'Gnome statue'),
('570', 'Gnome statue'),
('571', 'Gnome statue'),
('572', 'Gnome statue'),
('573', 'Gnome statue'),
('574', 'Statue'),
('575', 'Statue'),
('576', 'Statue'),
('577', 'null'),
('578', 'null'),
('579', 'Statue'),
('580', 'Statue'),
('581', 'Statue'),
('582', 'Statue'),
('583', 'Vase'),
('584', 'Statue'),
('585', 'Statue of Saradomin'),
('586', 'Statue of Saradomin'),
('587', 'Statue of Zamorak'),
('588', 'Statue steps'),
('589', 'Crystal ball'),
('590', 'Bank table'),
('591', 'Bank table'),
('592', 'Bathroom table'),
('593', 'Table'),
('594', 'Table'),
('595', 'Table'),
('596', 'Table'),
('597', 'Table'),
('598', 'Table'),
('599', 'Table'),
('600', 'Table'),
('601', 'Table'),
('602', 'Table'),
('603', 'Table'),
('604', 'Table'),
('605', 'Table'),
('606', 'Table'),
('607', 'Table'),
('608', 'Study desk'),
('609', 'Workbench'),
('610', 'Workbench'),
('611', 'Picnic bench'),
('612', 'Counter'),
('613', 'Table'),
('614', 'Table'),
('615', 'Small table'),
('616', 'Table'),
('617', 'Counter'),
('618', 'Chemistry Table'),
('619', 'Chemistry Table'),
('620', 'Table'),
('621', 'Table'),
('622', 'Table'),
('623', 'Table'),
('624', 'Table'),
('625', 'null'),
('626', 'null'),
('627', 'null'),
('628', 'Silver stall'),
('629', 'Silk stall'),
('630', 'Bakery stall'),
('631', 'Gem stall'),
('632', 'Fur stall'),
('633', 'Spice stall'),
('634', 'Market stall'),
('635', 'Tea stall'),
('636', 'Buffers'),
('637', 'Mine cart'),
('638', 'null'),
('639', 'null'),
('640', 'null'),
('641', 'null'),
('642', 'null'),
('643', 'null'),
('644', 'null'),
('645', 'null'),
('646', 'null'),
('647', 'Rack'),
('648', 'Stocks'),
('649', 'Gallows'),
('650', 'null'),
('651', 'Buried skeleton'),
('652', 'null'),
('653', 'null'),
('654', 'null'),
('655', 'null'),
('656', 'null'),
('657', 'null'),
('658', 'Pile of skulls'),
('659', 'Charred bones'),
('660', 'Corpse'),
('661', 'Corpse'),
('662', 'Corpse'),
('663', 'Corpse'),
('664', 'Corpse'),
('665', 'Corpse'),
('666', 'Corpse'),
('667', 'Corpse'),
('668', 'Pile of skulls'),
('669', 'null'),
('670', 'null'),
('671', 'Catapult'),
('672', 'Broken barrel'),
('673', 'null'),
('674', 'null'),
('675', 'null'),
('676', 'null'),
('677', 'null'),
('678', 'Fishing spot'),
('679', 'Fishing spot'),
('680', 'Piano'),
('681', 'Piano'),
('682', 'Piano stool'),
('683', 'Grandfather clock'),
('684', 'Swamp bubbles'),
('685', 'Weather vane'),
('686', 'null'),
('687', 'null'),
('688', 'null'),
('689', 'Mirror'),
('690', 'Bath screen'),
('691', 'Screen'),
('692', 'Cauldron'),
('693', 'Broom'),
('694', 'Clothes model'),
('695', 'Clothes model'),
('696', 'Hole'),
('697', 'Animal skull'),
('698', 'Big egg'),
('699', 'Carcass'),
('700', 'Curved bone'),
('701', 'Curved bone'),
('702', 'Large bone'),
('703', 'Large bone'),
('704', 'null'),
('705', 'null'),
('706', 'null'),
('707', 'Bell'),
('708', 'Bell mechanism'),
('709', 'Bell rope'),
('710', 'Hole in wall'),
('711', 'Crystal cluster'),
('712', 'Crystal cluster'),
('713', 'Crystal cluster'),
('714', 'Fire remains'),
('715', 'null'),
('716', 'null'),
('717', 'null'),
('718', 'Barrel'),
('719', 'null'),
('720', 'null'),
('721', 'null'),
('722', 'null'),
('723', 'Buried skeleton'),
('724', 'Standing torch'),
('725', 'null'),
('726', 'null'),
('727', 'Cave web'),
('728', 'null'),
('729', 'null'),
('730', 'null'),
('731', 'null'),
('732', 'null'),
('733', 'Web'),
('734', 'Slashed web'),
('735', 'Swamp bubbles'),
('736', 'Animal skull'),
('737', 'Carcass'),
('738', 'null'),
